AREA_BRUTA,QUARTOS,FINALIDADE,FREGUESIA,REF,ESTADO,AREA_TERRENO,ESTACIONAMENTO,C_BANHO,CONCELHO,TIPO_DE_IMOVEL,PRECO_DE_ARRENDAMENTO,DISTRITO,ZONA,CERT_ENERG,PRECO_DE_VENDA
243,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170295,USADO,90,3,2,BRAGANCA,MORADIA,-1,BRAGANCA,-1,-1,200000
229,4,VENDA,QUINTANILHA,292170294,USADO,-1,1,3,BRAGANCA,MORADIA,-1,BRAGANCA,-1,B,155000
119,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170293,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,-1,82000
100,2,VENDA,AVELEDA_E_RIO_DE_ONOR,292170292,NOVO,-1,-1,2,BRAGANCA,MORADIA,-1,BRAGANCA,-1,E,93000
3920,-1,VENDA,CARCAO,292170291,ND,3920,-1,-1,VIMIOSO,TERRENO_RÚSTICO,-1,BRAGANCA,-1,-1,27500
18900,-1,VENDA,CARCAO,292170290,ND,18900,-1,-1,VIMIOSO,TERRENO_RÚSTICO,-1,BRAGANCA,-1,-1,67500
1600,-1,VENDA,CARCAO,292170289,ND,1600,-1,-1,VIMIOSO,TERRENO_RÚSTICO,-1,BRAGANCA,-1,-1,32000
61600,-1,VENDA,CARCAO,292170288,ND,61600,-1,-1,VIMIOSO,TERRENO_RÚSTICO,-1,BRAGANCA,-1,-1,62000
215,3,VENDA,SAMIL,292170287,USADO,-1,3,3,BRAGANCA,MORADIA_GEMINADA,-1,BRAGANCA,-1,E,168000
207,4,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170286,USADO,160,2,2,BRAGANCA,MORADIA_GEMINADA,-1,BRAGANCA,MAE_D´AGUA,E,125000
1284,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170285,ND,1284,-1,-1,BRAGANCA,TERRENO_PARA_CONSTRUCAO,-1,BRAGANCA,-1,-1,56000
97,-1,VENDA_ARRENDAMENTO,SE_SANTA_MARIA_E_MEIXEDO,292170284,USADO,-1,-1,1,BRAGANCA,LOJA,300,BRAGANCA,-1,C,55000
21000,-1,VENDA,DONAI,292170283,ND,21000,-1,-1,BRAGANCA,TERRENO,-1,BRAGANCA,-1,-1,125000
140,-1,VENDA,AZINHOSO,286170111,USADO,90,-1,-1,MOGADOURO,MORADIA_PARA_RESTAURAR,-1,BRAGANCA,-1,-1,20000
252,3,VENDA,CASTELO_BRANCO,286170110,USADO,398,1,1,MOGADOURO,MORADIA,-1,BRAGANCA,-1,F,35000
500,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170281,USADO,-1,1,2,BRAGANCA,MORADIA,-1,BRAGANCA,-1,F,75000
115,3,VENDA,REBORDAINHOS_E_POMBARES,292170280,NOVO,35,2,2,BRAGANCA,MORADIA,-1,BRAGANCA,-1,C,135000
128,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170279,USADO,-1,4,2,BRAGANCA,ANDAR_MORADIA,-1,BRAGANCA,-1,D,145000
85,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170278,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,E,59000
64,1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170275,NOVO,-1,1,1,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,-1,86000
111,2,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170274,NOVO,-1,2,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,-1,135000
